brand_name,brand_id,rights_owner,complaint_email,rights_type,rights_name,rights_id,category,risk_level
Givenchy,SC_B_1592,纪梵希有限公司 GIVENCHY,givenchy@sipi.sg,商标,GIVENCHY,3074343,LUXURY,S
GlaxoSmithKline,SC_B_2321,SMITHKLINE BEECHAM LIMITED,,,,,FUN,S
Glenmorangie,SC_B_1593,麦克唐纳和缪尔有限公司,anna.hu@hongfanglaw.com,商标,GLENMORANGIE,13669391,FUN,S
Glow Recipe,SC_B_5464,Aramara Beauty LLC,,,,,LUXURY,S
GM,SC_B_3004,GENERAL MOTORS CORPORATION,,,,,FUN,S
Goofy,SC_B_1600,"DISNEY ENTERPRISES,INC.",,,,,FUN,S
Gordon's,SC_B_2938,Diageo Ireland Unlimited Company,,,,,FUN,S
Goyard,SC_B_2320,GOYARD ST-HONORE,,,,,LUXURY,S
Grana Padano,SC_B_1602,Mipaaf - Consorzio Tutela Grana Padano,icqrf.capodipartimento@politicheagricole.it,商标,Grana Padano,IT/PDO/0017/0011,FUN,S
Grappa,SC_B_1604,Mipaaf,icqrf.capodipartimento@politicheagricole.it,商标,Grappa,PGI-IT-01844,FUN,S
Greenies,SC_B_3149,"MARS, INCORPORATED",,,,,FUN,S
Grey Goose,SC_B_2877,Bacardi & Company Limited,,,,,FUN,S
Grill Mates,SC_B_3203,"McCormick & Company, Incorporated",,,,,FUN,S
GrillStone,SC_B_3522,Earthstone International LLC,,,,,FUN,S
Grumpy Cat,SC_B_2817,GRUMPY CAT LIMITED,,,,,FUN,A
Gucci,SC_B_1608,GUCCIO GUCCI SPA,gucci.ipr@ybrandprotection.com,商标,GUCCI,1046977,LUXURY,S
Guerbet,SC_B_2331,GUERBET,,,,,LUXURY,S
Guerlain,SC_B_1609,GUERLAIN SOCIETE ANONYME,lvfragrancecops@sipi.in,商标,GUERLAIN,246917,LUXURY,S
Guinness,SC_B_2934,Diageo Ireland Unlimited Company,diageo.ipr@bp.corsearch.com,商标,GUINNESS,001278548,FUN,S
Haagen-Dazs,SC_B_3095,"GENERAL MILLS MARKETING, INC.",,,,,FUN,S
Habanos,SC_B_3905,CORPORACION HABANOS S.A.,,,,,LUXURY,S
haers,SC_B_3178,浙江哈尔斯真空器皿股份有限公司,,,,,FUN,A
HAGER,SC_B_2332,HAGER SE,,,,,3C,S
Haig Club,SC_B_2943,Diageo Brands B.V.,,,,,FUN,S
Hair Recipe,SC_B_5329,The Procter & Gamble Company,,,,,FUN,A
Hang,SC_B_3016,PANArt Hangbau AG,,,,,FUN,S
Hangcha,SC_B_3159,杭叉集团股份有限公司,sstz@list.alibaba-inc.com,商标,HC,142457,FUN,A
Harbin,SC_B_2857,"Anheuser-Busch InBev, Harbin Brewery Company Limited",,,,,FUN,S
Harley-Davidson,SC_B_1618,"H-D U.S.A., LLC",brandprotection@harley-davidson.com,商标,HARLEY,1511282,FUN,S
Harry Potter,SC_B_3220,WARNER BROS. ENTERTAINMENT INC,enforcement_warnerbros@pointerbp.nl,商标,HARRY POTTER,001433952,FUN,S
Hasbro,SC_B_3015,"Hasbro, Inc.",,,,,FUN,S
Havells,SC_B_1619,QRG ENTERPRISES LIMITED,harsh.aggarwal@havells.com,商标,HAVELLS,8130458,FUN,A
Hayat,SC_B_2929,MBI - Master Brands International GmbH,,,,,FUN,S
Hazeline,SC_B_1620,UNILEVER N.V.,,,,,FUN,S
Head & Shoulders,SC_B_1622,THF PROCTER & GAMBLE COMPANY,,,,,FUN,S
Head 'n Home,SC_B_2975,"Head 'n Home, Inc.",,,,,FUN,S
Heineken,SC_B_1623,Heineken Asia Pacific Pte. Ltd.,enforcement_heineken@corsearch.com,商标,HEINEKEN,3289981,FUN,S
Heinz,SC_B_3237,H.J. Heinz Foods UK Limited,,,,,FUN,S
Helena Rubinstein,SC_B_1625,L'OREAL SOCIETE ANONYME,,,,,LUXURY,S
Hello Kitty,SC_B_3010,三丽鸥株式会社,,,,,FUN,A
Hennessy,SC_B_1626,SOCIETE JAS HENNESSY CO,enforcement_hennessy@pointerbp.nl,商标,HENNESSY,890628,LUXURY,S
Henri Abele,SC_B_2296,CHAMPAGNE HENRI ABELE,,,,,LUXURY,S
Herbal Essences,SC_B_1627,The Procter &amp; Gamble Company,pg_enforce@opsecsecurity.com,商标,Herbal Essences,003603685,FUN,A
Hermes,SC_B_1446,HERMES INTERNATIONAL,Hermes@zeal.corsearch.com,商标,BIRKIN,686529,LUXURY,S
Hoffman,SC_B_2281,"HOFFMAN ENCLOSURES,INC.",,,,,FUN,S
Hoka,SC_B_1632,DECKERS OUTDOOR CORPORATION,counterfeit@deckers.com,商标,HOKA,24736328,FUN,S
holo,SC_B_4388,TRAVAINI MATTIA,,,,,FUN,S
honda,SC_B_241,"HONDA MOTOR CO.,LTD.",,,,,3C,S
Hopsak,SC_B_4854,Vitra Collections AG,,,,,LUXURY,S
Hot Wheels,SC_B_1635,MATTEL Inc.,,,,,FUN,S
HP,SC_B_3034,HEWLETT-PACKARD COMPANY,,,,,3C,S
HRE,SC_B_5563,Phoenix Wheel Company Inc,phoenixwheelcompany-bp@redpoints.com,商标,w_T1016602Z_HRE_12-25_SG_PhoenixWheelCompanyInc,1058317,FUN,S
Hsu Fu Chi,SC_B_3096,HSU FU CHI INTERNATIONAL HOLDINGS LIMITED\t,,,,,FUN,S
Hubba Bubba,SC_B_3187,Wm. Wrigley Jr. Company,wrigley.ipr@bp.corsearch.com,商标,HUBBA BUBBA,2579033,FUN,S
Hublot,SC_B_2707,"HUBLOT SA,Nemi S.A.",,,,,LUXURY,S
Hugo Boss,SC_B_2333,HUGO BOSS TRADE MARK MANAGEMENT GMBH & CO.KG,,,,,LUXURY,S
hulu,SC_B_2873,"HULU, LLC",,,,,FUN,S
Hutchinson,SC_B_2334,HUTCHINSON SA,,,,,FUN,S
HYT,SC_B_1644,HYT SA,,,,,LUXURY,S
Hyundai,SC_B_166,Hyundai Motor Company,,,,,3C,S
I LOHAS,SC_B_2906,The Coca-Cola Company,,,,,FUN,S
ICC,SC_B_2285,CHAMBRE DE COMMERCE INTERNATIONALE,,,,,FUN,S
iMac,SC_B_4214,Apple Inc.,,,,,3C,S
INA,SC_B_2935,Schaeffler KG,,,,,3C,S
INAO,SC_B_2335,INSTITUT NATIONAL DES APPELLATIONS D’ORIGINE,,,,,FUN,S
Inditex,SC_B_3013,"NDUSTRIA DE DISEÑO TEXTIL, SA",,,,,FUN,S
Inter Milan,SC_B_5473,F.C. Internazionale Milano S.p.A.,,,,,FUN,S
iPad,SC_B_231,APPLE INC.,,,,,3C,S
iPod,SC_B_4245,apple inc.,,,,,3C,S
Ipsen,SC_B_2336,IPSEN,,,,,FUN,S
iRenew,SC_B_3524,iRenew LLC,,,,,FUN,S
Isabel Marant,SC_B_3523,IM PRODUCTION,,,,,FUN,S
IWC,SC_B_1653,Richemont International SA,jwoo@fhs.hk,商标,IWC,26910859,LUXURY,S
J'adore,SC_B_5177,PARFUMS CHRISTIAN DIOR,,,,,LUXURY,S
Jack Daniel's,SC_B_2914,"Jack Daniel's Properties, Inc.",,,,,LUXURY,S
Jacquemus,SC_B_4907,Jacquemus SAS,jacquemus@iptrack-infringement.com,商标,Jacquemus,1211398,LUXURY,S
Jaeger-LeCoultre,SC_B_1658,RICHEMONT INTERNATIONAL SA,,,,,LUXURY,S
Jasper,SC_B_4105,King Furniture Australia Pty Ltd,,,,,FUN,A
Jasper Morrison,SC_B_4107,Jasper Morrison Limited,,,,,FUN,A
Jaspis,SC_B_4106,"Ziereisen, Hanspeter",,,,,FUN,A
Jazwares,SC_B_4990,"Jazwares, LLC",,,,,FUN,S
JBL,SC_B_1659,"Harman international industries,Incorporated",tao.bao@harman.com,商标,JBL,4531956,3C,S
Jell-O,SC_B_3232,"Kraft Foods, Inc.",,,,,FUN,S
Jibbitz,SC_B_1662,"Jibbitz, LLC",crocs.ipr@ybrandprotection.com,商标,JIBBITZ,6169510,FUN,S
Jif,SC_B_3064,Unilever Global IP Limited,,,,,FUN,S
Jil Sander,SC_B_2442,JIL SANDER GMBH,,,,,LUXURY,S
Jimmy Choo,SC_B_2954,J. Choo Limited,,,,,LUXURY,S
JM Weston,SC_B_2337,JM WESTON,,,,,LUXURY,S
JNCO,SC_B_4834,"Big Rig, LLC",,,,,FUN,A
Jo Malone,SC_B_1665,周马龙公司 JOMALONEINC.,elcipr@163.com,商标,JO MALONE,1093578,LUXURY,S
joboo,SC_B_4816,joboo GmbH,,,,,FUN,S
John Deere,SC_B_1666,Deere & Company,johndeere.ipr@ybrandprotection.com,商标,JOHN DEERE,910037,FUN,S
Johnnie Walker,SC_B_2832,DIAGEO BRANDS B.V.,diageo.ipr@bp.corsearch.com,商标,JOHNNIE WALKER,002619740,FUN,S
Joola,SC_B_5469,Joola Tischtennis GmbH,bp.sportsquard@marqvision.com,商标,JOOLA,011760791,FUN,S
Jordan,SC_B_1667,NIKE INNOVATE C.V.,enforcement_nike@pointerbp.nl,商标,Jordan,4/2015/00006297,FUN,S
Jovan,SC_B_3072,Coty Beauty Germany GmbH,,,,,LUXURY,S
Joy,SC_B_1668,The Procter &amp; Gamble Company,pg_enforce@opsecsecurity.com,商标,Joy,6146277,FUN,S
JTI,SC_B_2338,JAPAN TOBACCO INC,,,,,FUN,S
Jupiler,SC_B_2858,InBev Belgium SRL,,,,,FUN,S
Juventus,SC_B_5475,Juventus Football Club S.p.A.,,,,,FUN,S
K.Jacques,SC_B_2339,ETABLISSEMENTS KEKLIKIAN (SA),,,,,LUXURY,S
Kartell,SC_B_1673,Kartell S.p.A.,infringements.kartell@netnames.com,商标,"KARTELL WM 9,10,11,20,21",379186,LUXURY,S
Katy Perry,SC_B_3076,"KILLER QUEEN, LLC",,,,,FUN,S
KAWS,SC_B_2227,KAWS Inc,kaws-bp@redpoints.com,商标,KAWS,6046763,FUN,A
Kellogg's,SC_B_3227,Kellogg Company,,,,,FUN,S
Kenzo,SC_B_2340,KENZO,,,,,LUXURY,S
Ketel One,SC_B_2942,Double Eagle Brands B.V,,,,,FUN,S
Kiehl's,SC_B_1682,L'OREAL SOCIETE ANONYME,,,,,LUXURY,S
Kinder,SC_B_3067,FERRERO S.P.A.,,,,,LUXURY,S
King Spider,SC_B_4114,King Spider LLC,,,,,FUN,A
Kinh Do,SC_B_3211,Mondelez International AMEA Pte. Ltd,,,,,FUN,S
Kiodo,SC_B_4395,TRAVAINI MATTIA,,,,,FUN,S
Kitekat,SC_B_3153,"MARS, INCORPORATED",,,,,FUN,S
KitKat,SC_B_3098,Société des Produits Nestlé S.A.,,,,,FUN,S
Kobe,SC_B_1685,NIKEINTERNATIONALLTD.,,,,,FUN,S
Konad,SC_B_3166,"KONAD CO.,LTD\t",,,,,FUN,A
Kool-Aid,SC_B_3234,"Kraft Foods, Inc.",,,,,FUN,S
Krave,SC_B_3230,Kellogg Company,,,,,FUN,S
Krug,SC_B_1686,MHCS,,,,,LUXURY,S
Krytox,SC_B_1688,"THE CHEMOURS COMPANY FC, LLC",chemours.enforcement@incoproip.com,商标,KRYTOX,4/2006/4389,FUN,S
KTM,SC_B_4914,KTM AG,usa_thor@yahoo.com,商标,KTM,3436150,FUN,A
Kylie,SC_B_212,"Kylie Jenner, Inc.",kkwkylie.enforcement@incoproip.com,商标,KYLIE,5246500,LUXURY,S
Kylie Cosmetics,SC_B_3092,"Kylie Jenner, Inc.",,,,,LUXURY,S
Kérastase,SC_B_1679,L'OREAL SOCIETE ANONYME,,,,,LUXURY,S
L'Oreal,SC_B_1260,L'Oreal,loreal@sipi.sg,商标,CeraVe,IDM000420874,LUXURY,S
L-Acoustics,SC_B_2341,L-ACOUSTICS,,,,,3C,S
La Laitière,SC_B_3099,Société des Produits Nestlé S.A.,,,,,FUN,S
La Poste,SC_B_2322,GROUPE LA POSTE,,,,,FUN,S
La Roche-Posay,SC_B_3326,LA ROCHE-POSAY LABORATOIRE DERMATOLOGIQUE,,,,,LUXURY,S
Lacoste,SC_B_1458,LACOSTE,counterfeit-lacoste@mf-brands.com,商标,LACOSTE,141102,LUXURY,S
Laeeb,SC_B_2298,Federation Internationale de Football Association (FIFA),,,,,FUN,S
Lafuma,SC_B_1699,LAFUMA MOBILIER S.A.S.,,,,,LUXURY,A
Lagavulin,SC_B_2944,Diageo Brands B.V.,,,,,FUN,S
LaLiga,SC_B_3017,Liga Nacional de Fútbol Profesional,,,,,FUN,S
Lancel,SC_B_1701,LANCEL INTERNATIONAL SA.,,,,,LUXURY,S
Lancome,SC_B_1702,L'OREAL SOCIETE ANONYME,loreal@sipi.sg,商标,LANCOME,76096,LUXURY,S
Lange,SC_B_1703,LANGE UHREN GMBH,,,,,LUXURY,S
Lava,SC_B_4386,TRAVAINI MATTIA,,,,,FUN,S
Lavazza,SC_B_3241,LUIGI LAVAZZA S.P.A.,,,,,FUN,S
Lay's,SC_B_3056,"PEPSICO, INC.",,,,,FUN,S
LCR,SC_B_5217,George & Company LLC LIMITED LIABILITY COMPANY,iprprotect@aliyun.com,商标,LCR,2989658,FUN,A
Le Labo,SC_B_1704,莱拉伯股份有限公司 LE LABO HOLDING LLC,lelabo.ipr@bp.corsearch.com,商标,LE LABO,26586152,LUXURY,S
Leffe,SC_B_2859,InBev Belgium SRL,,,,,FUN,S
Left Center Right,SC_B_5219,George & Company LLC,,,,,FUN,A
LEGO,SC_B_1708,LEGO Juris A/S,lego@enforcements.opsecsecurity.com,商标,BRICKHEADZ,7980856,FUN,S
Legrand,SC_B_2346,LEGRAND FRANCE,,,,,3C,S
Lenticchia di Castelluccio di Norcia,SC_B_1710,Mipaaf,icqrf.capodipartimento@politicheagricole.it,商标,Lenticchia di Castelluccio di Norcia,IT/PGI/0017/1557,FUN,S
Levi's,SC_B_1711,LEVI STRAUSS & CO.,,,,,LUXURY,S
Lexmark,SC_B_1718,"LEXMARK INTERNATIONAL,INC.",,,,,3C,S
Lifebuoy,SC_B_1721,Unilever N.V.,unilever.ipr@ybrandprotection.com,商标,LIFEBUOY,6353334,FUN,S
Lightning,SC_B_1723,APPLE INC.,,,,,3C,S
Lindt,SC_B_3242,Chocoladefabriken Lindt & Sprungli AG,,,,,LUXURY,S
Lipton,SC_B_1727,UNILEVER N.V.,unilever.ipr@ybrandprotection.com,商标,LIPTON,001531227,FUN,S
Liqui Moly,SC_B_2976,Liqui-Moly Gesellschaft mit beschränkter Haftung,,,,,FUN,S
Lithos,SC_B_4390,TRAVAINI MATTIA,,,,,FUN,S
Little People,SC_B_5071,Mattel Inc.,mattel@convey.it,商标,LITTLE PEOPLE,000169722,FUN,S
Liverpool,SC_B_2487,The Liverpool Football Club and Athletic Grounds Limited,,,,,FUN,S
Loaf Lock,SC_B_3535,Sally May-Frankum,,,,,FUN,S
Loewe,SC_B_1731,LOEWE S.A.,,,,,LUXURY,S
Longchamp,SC_B_1732,S.A.S.JEAN CASSEGRAIN,brand.protection@longchamp.com,商标,LONGCHAMP,7103273,LUXURY,S
Longines,SC_B_1733,LONGINES WATCH CO.FRANCILLON LTD,,,,,LUXURY,S
Lotti Karotti,SC_B_5554,Ravensburger AG,,,,,FUN,S
louboutin,SC_B_2541,CLERMON ET ASSOCIES,,,,,FUN,S
Louis Latour,SC_B_2349,MAISON LOUIS LATOUR S.A.,,,,,LUXURY,S
Louis Vuitton,SC_B_1737,LOUIS VUITTON MALLETIER,lv@ipcommune.com,商标,241012 LV花纹,241012,LUXURY,S
LPG,SC_B_2347,LPG SYSTEMS,,,,,FUN,S
Luna Rossa,SC_B_1746,PRADA S.A.,,,,,LUXURY,S
Luvlette,SC_B_3989,Roadget Business PTE. LTD.,,,,,FUN,S
Lux,SC_B_1747,UNILEVER N.V.,,,,,FUN,S
Luxottica,SC_B_1748,LUXOTTICA GROUP S.p.A.,,,,,LUXURY,S
Lyft,SC_B_1750,"Lyft, INC",lyft@tracer.ai,商标,LYFT,14029160,FUN,S
Lynred,SC_B_2348,LYNRED,,,,,3C,S
Lynx,SC_B_1751,Unilever N.V,unilever.enforcement@incoproip.com,商标,Lynx,556726,FUN,S
M&M's,SC_B_3188,"Mars, Incorporated",,,,,FUN,S
Mach3,SC_B_1753,The Gillette Company LLC,,,,,FUN,S
mackage,SC_B_2257,APP GROUP ASIA LIMITED,,,,,FUN,S
Macleod House & Lodge,SC_B_5292,DTTM Operations LLC,,,,,3C,S
Maggi,SC_B_3101,Société des Produits Nestlé S.A.,,,,,FUN,S
magma,SC_B_4391,TRAVAINI MATTIA,,,,,FUN,S
MagSafe,SC_B_1756,Apple Inc.,ebox2836@apple.com,商标,MAGSAFE,3229791,3C,S
Maison Francis Kurkdjian,SC_B_3342,"PARFUM FRANCIS KURKDJIAN, Société par Actions Simplifiée",,,,,LUXURY,S
Maison Margiela,SC_B_3022,MARGIELA,,,,,LUXURY,S
Maltesers,SC_B_3189,"Mars, Incorporated",,,,,FUN,S
Manchester United,SC_B_2489,MANCHESTER UNITED FOOTBALL CLUB LIMITED\t,,,,,FUN,S
Mango,SC_B_3045,CONSOLIDATED ARTISTS B.V.,,,,,FUN,S
Manhattan,SC_B_3097,Coty Beauty Germany GmbH,,,,,LUXURY,S
Marc Jacobs,SC_B_1759,玛亚科布商标公司（MARC JACOBS TRADEMARKS L.L.C),tousu_coty@schmitt-orlov.asia,商标,MARC JACOBS,1164572,LUXURY,S
Mardi Mercredi,SC_B_3673,PIECE PEACE STUDIO,,,,,FUN,S
Marlboro,SC_B_1760,Philip Morris USA Inc.,altria.ipr@bp.corsearch.com,商标,Marlboro,5379044,FUN,S
marni,SC_B_3024,MARNI GROUP S.R.L.,,,,,LUXURY,S
Mars,SC_B_3190,"Mars, Incorporated",,,,,FUN,S
Martell,SC_B_1762,MARTELL&CO,,,,,LUXURY,S
Martini,SC_B_2878,Bacardi & Company Limited,,,,,FUN,S
Mary Kay,SC_B_3527,Mary Kay Inc,,,,,LUXURY,S
Matchbox,SC_B_5070,Mattel Inc.,mattel@convey.it,商标,MATCHBOX,002487288,FUN,S
Matrix,SC_B_1766,乔山健康科技股份有限公司,doristsai@johnsonfitness.com,商标,MATRIX,41436971,FUN,S
mattel,SC_B_1767,MATTEL Inc.,,,,,FUN,S
Mauri,SC_B_2977,AB Mauri Technology Pty Limited,,,,,FUN,S
mavimatt,SC_B_4369,TRAVAINI MATTIA,,,,,FUN,S
Maxime Trijol,SC_B_2315,ETS MAXIME TRIJOL,,,,,LUXURY,S
Maybelline,SC_B_1768,L'OREAL SOCIETE ANONYME,,,,,LUXURY,S
mccormick,SC_B_3202,"McCormick & Company, Incorporated",,,,,FUN,S
Mentos,SC_B_3243,Perfetti Van Melle Benelux BV,,,,,FUN,S
Meteora,SC_B_4393,TRAVAINI MATTIA,,,,,FUN,S
MG,SC_B_1774,广州美即生物科技有限公司,,,,,FUN,S
Michael Kors,SC_B_2392,Michael Kors (Switzerland) International GmbH,,,,,LUXURY,S
Michel Keck,SC_B_3526,"KECK, MICHEL",,,,,FUN,S
Michelin,SC_B_1776,米其林集团总公司,dubinbin@wanhuida.com,商标,MICHELIN,10574987,FUN,S
Mickey Mouse,SC_B_273,"DISNEY ENTERPRISES,INC.",,,,,FUN,S
MicroSD,SC_B_2412,SD-3C LLC,tcrip.sd3c@gmail.com,商标,MICRO SD,16749231,3C,S
microsoft,SC_B_1510,MICROSOFT CORPORATION,,,,,3C,S
miele,SC_B_5319,Miele & Cie. KG,,,,,3C,A
Mielle,SC_B_3617,"Mielle Organics, LLC",ahj@vaudra.com,商标,Mielle,4912786,FUN,S
Milky Way,SC_B_3191,"Mars, Incorporated",,,,,FUN,S
Milkybar,SC_B_3102,Société des Produits Nestlé S.A.,,,,,FUN,S
Mille,SC_B_1790,TURLEN HOLDING SA,,,,,FUN,S
Milo,SC_B_3108,Société des Produits Nestlé S.A.,,,,,FUN,S
Minute Maid,SC_B_2917,The Coca-Cola Company,,,,,FUN,S
Mitchell & Ness,SC_B_1794,ADIDAS AG,,,,,FUN,S
Miu Miu,SC_B_1795,Prada S.A.,prada-sa@prada.com,商标,"MIU MIU_686197_cl3,9,14,16,18,25,34,42_WIPO",686197,LUXURY,S
mizone,SC_B_2928,COMPAGNIE GERVAIS DANONE,,,,,FUN,S
Mizuno,SC_B_213,MIZUNO CORPORATION,,,,,FUN,A
Modelo,SC_B_2860,"CERVECERIA MODELO DE MEXICO, S. DE R.L. DE C.V.",,,,,FUN,S
molto,SC_B_1797,UNILEVER N.V.,,,,,FUN,S
Monange,SC_B_3111,HYPERMARCAS S.A.,,,,,FUN,S
Moncler,SC_B_1798,MONCLER S.P.A.,infringements.moncler@cscglobal.com,商标,MONCLER,6084721,LUXURY,S
Montblanc,SC_B_1772,MONTBLANC-SIMPLO GMBH,brand-enforcement@incopro.co.uk,商标,MONTBLANC,7173121,LUXURY,S
Montepulciano d'Abruzzo,SC_B_1805,Mipaaf,icqrf.capodipartimento@politicheagricole.it,商标,Montepulciano d&rsquo;Abruzzo,PDO-IT-A0723,FUN,S
Morrison,SC_B_4108,株式会社 スマイルワークス,,,,,FUN,A
Mortadella Bologna,SC_B_1807,Mipaaf - Consorzio Mortadella Bologna IGP,icqrf.capodipartimento@politicheagricole.it,商标,Mortadella Bologna PGI,IT/PGI/0017/0325,FUN,S
Mountain Dew,SC_B_3058,"PEPSICO, INC.",,,,,FUN,S
Movado,SC_B_1809,Movado Watch Company S.A.,enforcements@movadobrandprotection.com,商标,Movado,190820,LUXURY,S
Moët,SC_B_1796,酩轩仕,anna.hu@hongfanglaw.com,商标,MOET,26856707,LUXURY,S
Mr Porter,SC_B_1812,THE NET-A-PORTER GROUP LIMITED,,,,,LUXURY,S
MSN,SC_B_1813,MICROSOFT CORPORATION,,,,,3C,S
Mugen,SC_B_3046,Kabushiki Kaisha Mugen,,,,,FUN,S
Mulino Bianco,SC_B_2891,Barilla G.e R. Fratelli - Società per Azioni,,,,,FUN,S
Mumm,SC_B_2354,MUMM & CIE,,,,,LUXURY,S
Mövenpick,SC_B_3109,Société des Produits Nestlé S.A.,,,,,FUN,S
Nafion,SC_B_1816,"Chemours Company FC, LLC",chemours.enforcement@incoproip.com,商标,NAFION,341536,FUN,S
Natura Bisse,SC_B_3039,"NATURA BISSE INTERNATIONAL, S.A.",,,,,LUXURY,S
Nature's Bounty,SC_B_3115,"Nature's Bounty (NY), Inc.",,,,,FUN,S
Nautica,SC_B_3121,"NAUTICA APPAREL, INC.",,,,,LUXURY,S
NBC,SC_B_2961,"NBCUniversal Media, LLC",,,,,FUN,S
NBCUniversal,SC_B_2960,"NBCUniversal Media, LLC",,,,,FUN,S
Nescafe,SC_B_3116,Société des Produits Nestlé S.A.,,,,,FUN,S
Nespresso,SC_B_3117,Société des Produits Nestlé S.A.,,,,,FUN,S
Nesquik,SC_B_3119,Société des Produits Nestlé S.A.,,,,,FUN,S
Nestea,SC_B_3120,Société des produits Nestlé S.A.,,,,,FUN,S
Nestle,SC_B_3086,Société des Produits Nestlé S.A.,,,,,FUN,S
Net-a-Porter,SC_B_1830,"THE NET-A-PORTER GROUP LIMITED,THE NET-A-PORTER GROUP LIMITED",,,,,LUXURY,S
Netflix,SC_B_2619,"Netflix, Inc.",,,,,FUN,S
New Balance,SC_B_3019,"New Balance Athletic Shoe, Inc.",,,,,FUN,S
Nido,SC_B_3123,Société des Produits Nestlé S.A.,ipr@thomsentrampedach.com,商标,NIDO,009343781,FUN,S
Nike,SC_B_1452,NIKE INNOVATE C.V.,enforcement_nike@pointerbp.nl,商标,Air Force 1,007534101,FUN,S
Ninfea,SC_B_4394,TRAVAINI MATTIA,,,,,FUN,S
nintendo,SC_B_2531,"Nintendo Co., Ltd.",,,,,FUN,S
Noguchi,SC_B_1847,VITRA PATENTE AG,,,,,FUN,A
Nokia,SC_B_2355,NOKIA CORPORATION,,,,,3C,S
NoseFrida,SC_B_3490,"Fridababy, LLC",infringements.fridababy@cscglobal.com,商标,NOSEFRIDA,39089974,FUN,S
NRG,SC_B_3528,"NRG Energy, Inc.",,,,,FUN,S
Nutella,SC_B_3066,FERRERO S.P.A.,,,,,LUXURY,S
Nutri-Grain,SC_B_3221,Kellogg Company,,,,,FUN,S
Nutri-Plus,SC_B_3240,HEINZ WATTIE'S LIMITED,,,,,FUN,S
Nutro,SC_B_3157,"MARS, INCORPORATED",,,,,FUN,S
NYX,SC_B_1848,L'OREAL SOCIETE ANONYME,,,,,LUXURY,S
Oakley,SC_B_1549,"OAKLEY, INC.",,,,,LUXURY,S
Olay,SC_B_1856,The Procter and Gamble Company,pg_enforce@opsecsecurity.com,商标,Olay,1556339,FUN,S
Olio di Puglia,SC_B_1857,Mipaaf,icqrf.capodipartimento@politicheagricole.it,商标,Olio di Puglia,PGI-IT-02381,FUN,S
Oliva di Gaeta,SC_B_1858,Mipaaf,icqrf.capodipartimento@politicheagricole.it,商标,Oliva di Gaeta,PDO-IT-02101,FUN,S
Oliver Peoples,SC_B_1859,OAKLEY，INC.,,,,,LUXURY,S
Olympic,SC_B_4504,Comite International Olympique,ioc.enforcement@incoproip.com,商标,Olympic - Word,1128501,FUN,S
Omega,SC_B_1447,Omega S.A.,,,,,LUXURY,S
Omo,SC_B_1861,UNILEVER IP HOLDINGS B.V.,unilever.enforcement@incoproip.com,商标,OMO,1126387,FUN,S
Opteon,SC_B_1864,"THE CHEMOURS COMPANY FC, LLC",chemours.enforcement@incoproip.com,商标,OPTEON,19744268A,FUN,S
oracle,SC_B_2962,Oracle International Corporation,,,,,3C,S
Oral-B,SC_B_1570,The Procter &amp; Gamble Company,pg_enforce@opsecsecurity.com,商标,FLOSSACTION,4645732,3C,S
Orbis,SC_B_4387,TRAVAINI MATTIA,,,,,FUN,S
Orbit,SC_B_3192,Wm. Wrigley Jr. Company,,,,,FUN,S
Origins,SC_B_1869,ORIGINS NATURAL RESOURCES INC.,,,,,LUXURY,S
Oris,SC_B_1870,ORIS HOLDING AG,,,,,LUXURY,S
OTB,SC_B_3020,OTB S.p.A.,,,,,LUXURY,S
OtterBox,SC_B_1871,"Otter Products, LLC",jonathan.tudryn@otterproducts.com,商标,OTTERBOX,3788534,3C,A
Ouai,SC_B_4916,"United Beauty Brands, LLC",ahj@vaudra.com,商标,OUAI,5066007,LUXURY,S
OVM,SC_B_3179,柳州欧维姆机械股份有限公司,,,,,FUN,A
P!nk,SC_B_4115,KING SPIDER LLC,,,,,FUN,S
P&G,SC_B_5321,THE PROCTER & GAMBLE COMPANY,,,,,FUN,A
PAMP,SC_B_1875,PAMP SA,yves.brouze@fhs.swiss,商标,PAMP,19884040,FUN,S
Pampers,SC_B_1876,The Procter &amp; Gamble Company,pg_enforce@opsecsecurity.com,商标,PAMPERS,1628388,FUN,S
Pan di Stelle,SC_B_2892,Barilla G.e R. Fratelli - Società per Azioni,,,,,FUN,S
PANArt,SC_B_3014,PANArt Hangbau AG,,,,,FUN,S
Panasonic,SC_B_266,Panasonic Holdings Corporation,,,,,3C,S
Pandora,SC_B_2294,Pandora A/S,,,,,LUXURY,S
Panerai,SC_B_1745,ASPT (Singapore) PTE LTD,manager@aruki-aspt.com,商标,Aruki,2009516,LUXURY,S
Pantene,SC_B_1877,THE PROCTER & GAMBLE COMPANY,pg_enforce@opsecsecurity.com,商标,Pantene,19419,FUN,S
Panton,SC_B_3529,Verner Panton Design AG,,,,,FUN,S
PaperArtsy,SC_B_2978,Mark Franich,,,,,FUN,S
Paris 2024,SC_B_2357,"Comité International Olympique,PARIS 2024",,,,,FUN,S
Paris Saint-Germain,SC_B_5231,PARIS SAINT-GERMAIN FOOTBALL,,,,,FUN,S
Parmigiano Reggiano,SC_B_2656,CONSORZIO DEL FORMAGGIO PARMIGIANO REGGIANO,,,,,FUN,S
PartyBox,SC_B_5577,"HARMAN INTERNATIONAL INDUSTRIES, INCORPORATED",,,,,3C,S
